Customer Key-Name,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11053ANA,PRICE,20-08-1980,M,F,ana0@learnsector.com,60000,0,Partial College,Skilled Manual,N
11054DEANNA,MUNOZ,10-03-1952,M,F,deanna33@learnsector.com,40000,2,Partial College,Skilled Manual,Y
11055GILBERT,RAJE,05-03-1952,M,M,gilbert35@learnsector.com,40000,2,Partial College,Skilled Manual,Y
11056MICHELE,NATH,03-04-1953,M,F,michele19@learnsector.com,40000,3,Partial College,Skilled Manual,Y
11057CARL,ANDERSEN,12-10-1953,M,M,carl12@learnsector.com,70000,2,Graduate Degree,Management,Y
11058MARC,DIAZ,27-04-1954,M,M,marc6@learnsector.com,80000,2,Partial College,Skilled Manual,Y
11059ASHLEE,ANDERSEN,01-04-1954,S,F,ashlee19@learnsector.com,80000,2,Partial College,Skilled Manual,Y
11060JON,ZHOU,17-03-1954,M,M,jon28@learnsector.com,80000,2,Partial College,Skilled Manual,Y
11061TODD,GAO,27-02-1954,M,M,todd14@learnsector.com,80000,2,Partial College,Skilled Manual,Y
11062NOAH,POWELL,02-09-1975,M,M,noah5@learnsector.com,40000,0,High School,Skilled Manual,Y
11063ANGELA,MURPHY,07-04-1975,S,F,angela41@learnsector.com,40000,0,High School,Skilled Manual,Y
11064CHASE,REED,07-12-1975,M,M,chase21@learnsector.com,40000,0,High School,Skilled Manual,Y
11065JESSICA,HENDERSON,09-10-1973,M,F,jessica29@learnsector.com,60000,0,Partial College,Skilled Manual,N
11066GRACE,BUTLER,27-11-1973,M,F,grace62@learnsector.com,70000,0,Partial College,Professional,Y
11067CALEB,CARTER,25-09-1976,S,M,caleb40@learnsector.com,60000,0,Partial College,Professional,Y
11068TIFFANY,LIANG,23-09-1955,S,F,tiffany17@learnsector.com,80000,2,High School,Skilled Manual,Y
11069CAROLYN,NAVARRO,21-09-1955,S,F,carolyn30@learnsector.com,80000,2,High School,Skilled Manual,N
11070WILLIE,RAJI,05-04-1955,M,M,willie40@learnsector.com,80000,2,High School,Skilled Manual,Y
11071LINDA,SERRANO,26-06-1955,S,F,linda31@learnsector.com,80000,2,High School,Skilled Manual,Y
11072CASEY,LUO,06-02-1955,S,F,casey6@learnsector.com,80000,2,High School,Skilled Manual,N
11073AMY,YE,14-08-1956,S,F,amy16@learnsector.com,70000,2,High School,Skilled Manual,Y
11074LEVI,ARUN,28-08-1956,S,M,levi6@learnsector.com,70000,2,High School,Skilled Manual,Y
11075FELICIA,JIMENEZ,16-11-1957,S,F,felicia4@learnsector.com,80000,2,High School,Professional,Y
11076BLAKE,ANDERSON,13-07-1957,S,M,blake9@learnsector.com,80000,2,High School,Professional,Y
11077LEAH,YE,19-09-1957,S,F,leah7@learnsector.com,80000,2,High School,Professional,N
11078GINA,MARTIN,10-01-1974,S,F,gina1@learnsector.com,40000,0,High School,Professional,N
11079DONALD,GONZALEZ,11-03-1959,S,M,donald20@learnsector.com,160000,0,Graduate Degree,Management,Y
11080DAMIEN,CHANDER,17-07-1959,M,M,damien32@learnsector.com,170000,0,Graduate Degree,Management,Y
11081SAVANNAH,BAKER,24-07-1966,M,F,savannah39@learnsector.com,120000,2,Bachelors,Management,Y
11082ANGELA,BUTLER,04-08-1966,S,NA,angela17@learnsector.com,130000,0,Graduate Degree,Management,N
11083ALYSSA,COX,15-03-1966,M,F,alyssa37@learnsector.com,130000,0,Graduate Degree,Management,Y
11084LUCAS,PHILLIPS,12-09-1957,S,M,lucas7@learnsector.com,80000,2,Partial High School,Skilled Manual,N
11085EMILY,JOHNSON,19-07-1957,S,F,emily1@learnsector.com,60000,2,High School,Professional,N
11086RYAN,BROWN,23-12-1957,M,M,ryan43@learnsector.com,70000,2,Partial College,Professional,Y
11087TAMARA,LIANG,03-10-1957,M,F,tamara6@learnsector.com,70000,3,Partial College,Professional,N
11089ABIGAIL,PRICE,05-02-1957,S,F,abigail25@learnsector.com,80000,2,Bachelors,Management,Y
11090TREVOR,BRYANT,17-12-1957,S,M,trevor18@learnsector.com,90000,2,Partial College,Professional,Y
11091DALTON,PEREZ,04-04-1957,M,M,dalton37@learnsector.com,90000,2,Partial College,Professional,Y
11092CHERYL,DIAZ,06-05-1967,M,F,cheryl4@learnsector.com,90000,2,Bachelors,Professional,Y
11093AIMEE,HE,10-09-1967,M,F,aimee13@learnsector.com,100000,0,Graduate Degree,Management,Y
11094CEDRIC,MA,01-04-1962,S,M,cedric15@learnsector.com,70000,1,Partial College,Skilled Manual,N
11095CHAD,KUMAR,01-09-1962,S,M,chad9@learnsector.com,70000,1,Partial College,Skilled Manual,Y
11096ANDRÉS,ANAND,10-08-1962,M,M,andrés18@learnsector.com,60000,1,Bachelors,Professional,Y
11097EDWIN,NARA,27-10-1961,M,M,edwin39@learnsector.com,60000,1,Partial College,Skilled Manual,Y
11098MALLORY,RUBIO,01-05-1961,S,F,mallory7@learnsector.com,60000,1,Partial College,Skilled Manual,N
11099ADAM,ROSS,08-03-1961,M,M,adam2@learnsector.com,60000,1,Bachelors,Professional,Y
11100LATASHA,NAVARRO,15-09-1960,S,F,latasha10@learnsector.com,60000,1,Partial College,Skilled Manual,Y
11101ABBY,SAI,08-05-1965,S,F,abby4@learnsector.com,70000,0,Bachelors,Professional,N
11102JULIA,NELSON,21-04-1965,S,F,julia7@learnsector.com,80000,5,Bachelors,Professional,Y
11103CASSIE,CHANDE,17-10-1964,S,F,cassie13@learnsector.com,70000,0,Bachelors,Professional,Y
11104EDGAR,SARA,11-03-1964,M,M,edgar11@learnsector.com,70000,0,Bachelors,Professional,N
11105CANDACE,FERNANDEZ,28-12-1964,S,F,candace15@learnsector.com,70000,0,Bachelors,Professional,N
11106JESSIE,LIU,11-09-1964,S,M,jessie9@learnsector.com,70000,0,Bachelors,Professional,N
11107BIANCA,LIN,09-09-1959,M,F,bianca7@learnsector.com,90000,1,Bachelors,Professional,Y
11108KARI,ALVAREZ,14-07-1963,S,F,kari25@learnsector.com,70000,0,Bachelors,Professional,N
11109RUBEN,KAPOOR,05-11-1963,S,M,ruben1@learnsector.com,70000,0,Bachelors,Professional,N
11110CURTIS,YANG,06-06-1962,M,M,curtis5@learnsector.com,60000,1,Partial College,Skilled Manual,Y
11111MEREDITH,GUTIERREZ,23-02-1962,M,F,meredith34@learnsector.com,60000,1,Partial College,Skilled Manual,Y
11112CRYSTAL,WANG,09-09-1962,M,F,crystal3@learnsector.com,60000,1,Partial College,Skilled Manual,Y
11113MICHEAL,BLANCO,21-02-1962,M,M,micheal11@learnsector.com,70000,5,Bachelors,Professional,Y
11114LESLIE,MORENO,28-05-1962,S,F,leslie7@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11115ALVIN,CAI,12-02-1962,M,M,alvin20@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11116CLINTON,CARLSON,07-10-1962,M,M,clinton14@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11117APRIL,DENG,21-02-1961,M,F,april1@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11118ALVIN,ZENG,03-07-1957,S,M,alvin21@learnsector.com,80000,1,Partial College,Skilled Manual,N
11119EVAN,JAMES,10-04-1935,S,M,evan8@learnsector.com,30000,2,Partial College,Clerical,N
11121ORLANDO,SUAREZ,18-11-1960,M,M,orlando19@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11122BYRON,VAZQUEZ,02-04-1960,M,M,byron9@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11123PHILIP,ALVAREZ,20-06-1960,M,M,philip4@learnsector.com,70000,5,Partial College,Skilled Manual,Y
11124ROSS,JORDAN,27-07-1957,S,M,ross1@learnsector.com,80000,1,Partial College,Skilled Manual,Y
11125DANA,NAVARRO,08-04-1956,S,F,dana2@learnsector.com,70000,1,Partial College,Skilled Manual,Y
11126SHAUN,CARSON,07-04-1949,M,M,shaun16@learnsector.com,10000,2,High School,Skilled Manual,N
11127JAN,EDWARDS,21-10-1975,M,F,jan11@learnsector.com,40000,0,High School,Skilled Manual,Y
11128SAMANTHA,LONG,05-12-1975,M,F,samantha35@learnsector.com,40000,0,High School,Skilled Manual,Y
11129JULIA,WRIGHT,05-08-1975,S,F,julia17@learnsector.com,40000,0,High School,Skilled Manual,Y
11130CAROLINE,RUSSELL,06-01-1980,M,F,caroline21@learnsector.com,30000,0,High School,Skilled Manual,Y
11131AMANDA,RIVERA,12-03-1980,M,F,amanda7@learnsector.com,30000,0,High School,Skilled Manual,N
11132MELISSA,RICHARDSON,26-10-1980,S,F,melissa31@learnsector.com,30000,0,High School,Skilled Manual,N
11133ANGELA,GRIFFIN,08-09-1980,S,F,angela23@learnsector.com,30000,0,Partial High School,Clerical,N
11134LARRY,TOWNSEND,26-02-1946,S,M,larry14@learnsector.com,10000,5,High School,Skilled Manual,Y
11135MARCUS,HARRIS,03-11-1979,S,M,marcus14@learnsector.com,30000,0,Partial High School,Clerical,N
11136BRIANNA,MORGAN,26-10-1978,S,F,brianna30@learnsector.com,40000,0,High School,Skilled Manual,N
11137JASMINE,TAYLOR,20-07-1978,M,F,jasmine7@learnsector.com,40000,0,High School,Skilled Manual,Y
11138LAUREN,DAVIS,15-09-1978,M,F,lauren23@learnsector.com,40000,0,High School,Skilled Manual,N
11139TANYA,MORENO,09-11-1938,S,F,tanya2@learnsector.com,30000,2,Partial College,Clerical,N
11140JAVIER,ALVAREZ,11-02-1977,S,M,javier1@learnsector.com,30000,0,Partial High School,Clerical,N
11141NICOLE,RAMIREZ,21-06-1977,M,F,nicole42@learnsector.com,40000,0,High School,Skilled Manual,N
11142EDUARDO,PATTERSON,14-08-1977,S,M,eduardo55@learnsector.com,40000,0,High School,Skilled Manual,N
11143JONATHAN,HENDERSON,04-02-1977,M,M,jonathan4@learnsector.com,40000,0,High School,Skilled Manual,Y
11144EDWARD,HERNANDEZ,09-09-1979,S,M,edward48@learnsector.com,40000,0,High School,Skilled Manual,N
11145JASMINE,COLEMAN,08-12-1979,S,F,jasmine46@learnsector.com,40000,0,High School,Skilled Manual,N
11146KARLA,GOEL,26-08-1939,S,F,karla20@learnsector.com,40000,2,Bachelors,Management,Y
11147ERNEST,WU,05-02-1939,M,M,ernest6@learnsector.com,60000,2,Graduate Degree,Management,Y
11148ROSS,VAZQUEZ,16-08-1941,M,M,ross32@learnsector.com,40000,2,Bachelors,Management,Y
11149THEODORE,GILL,20-04-1941,M,M,theodore14@learnsector.com,40000,2,Bachelors,Management,Y
11150RUSSELL,SHEN,15-03-1941,S,M,russell6@learnsector.com,40000,2,Bachelors,Management,Y
11151MELINDA,GILL,25-02-1942,S,F,melinda9@learnsector.com,60000,2,Graduate Degree,Management,N
11152JAMES,WILLIAMS,10-01-1976,S,M,james77@learnsector.com,40000,0,High School,Skilled Manual,Y
11153ANGELA,JAMES,23-06-1976,M,F,angela34@learnsector.com,40000,0,High School,Skilled Manual,Y
11154MEGAN,WALKER,21-08-1976,S,F,megan25@learnsector.com,40000,0,Partial College,Skilled Manual,Y
11155HUNTER,ROBINSON,26-01-1976,S,M,hunter50@learnsector.com,40000,0,Partial College,Skilled Manual,N
11156MARIA,ROBERTS,07-02-1976,S,F,maria47@learnsector.com,40000,0,Partial College,Skilled Manual,N
11157HANNAH,LONG,11-06-1975,M,F,hannah32@learnsector.com,40000,0,High School,Skilled Manual,Y
11158JASON,WRIGHT,08-10-1975,S,M,jason46@learnsector.com,40000,0,High School,Skilled Manual,Y
11159BRIANNA,HUGHES,17-09-1975,S,F,brianna57@learnsector.com,40000,0,High School,Skilled Manual,N
11160MAURICE,TANG,08-01-1974,S,M,maurice4@learnsector.com,40000,0,Partial College,Skilled Manual,N
11161EMILY,WOOD,22-04-1974,S,F,emily27@learnsector.com,40000,0,Partial College,Skilled Manual,N
11162CHASE,COX,05-03-1974,S,M,chase10@learnsector.com,40000,0,Partial College,Skilled Manual,Y
11163GABRIEL,WANG,20-12-1974,M,M,gabriel21@learnsector.com,40000,0,Partial College,Skilled Manual,Y
11164DEVIN,BROOKS,05-05-1974,S,M,devin63@learnsector.com,40000,0,Partial College,Skilled Manual,N
11165JOCELYN,ALEXANDER,18-07-1973,M,F,jocelyn18@learnsector.com,60000,0,Partial College,Skilled Manual,N
11166ASHLEY,MARTINEZ,24-04-1972,S,F,ashley18@learnsector.com,70000,0,Partial College,Skilled Manual,N
11167JASMINE,BARNES,01-08-1972,S,F,jasmine43@learnsector.com,80000,0,Bachelors,Management,N
11168DAVID,RODRIGUEZ,15-05-1968,S,M,david83@learnsector.com,80000,0,Bachelors,Management,N
11169BRYCE,RICHARDSON,22-06-1968,M,M,bryce8@learnsector.com,90000,4,Bachelors,Management,Y
11170CAROL,HOWARD,05-02-1968,M,F,carol5@learnsector.com,90000,4,Bachelors,Management,Y
11171JONATHAN,HILL,09-10-1967,S,M,jonathan43@learnsector.com,100000,1,Bachelors,Management,Y
11172GABRIELLE,ADAMS,21-11-1967,M,F,gabrielle58@learnsector.com,100000,1,Bachelors,Management,Y
11173SARAH,THOMAS,01-09-1967,S,F,sarah13@learnsector.com,110000,0,Graduate Degree,Management,N
11174NICHOLAS,ROBINSON,13-07-1967,M,M,nicholas19@learnsector.com,110000,0,Graduate Degree,Management,Y
11175LUIS,WANG,05-03-1963,S,M,luis24@learnsector.com,70000,0,Partial College,Skilled Manual,Y
11176MASON,ROBERTS,25-01-1968,M,M,mason25@learnsector.com,90000,4,Bachelors,Management,Y
11177JOSE,FLORES,04-07-1942,M,M,jose6@learnsector.com,110000,2,Graduate Degree,Management,Y
11178NATHAN,JOHNSON,24-08-1943,M,M,nathan55@learnsector.com,100000,2,Graduate Degree,Management,Y
11179MOLLY,RODRIGUEZ,14-06-1943,M,F,molly18@learnsector.com,120000,2,Graduate Degree,Management,Y
11180APRIL,ANAND,02-01-1943,M,F,april18@learnsector.com,160000,1,Bachelors,Management,Y
11181DEVIN,MARTIN,08-08-1943,M,M,devin13@learnsector.com,170000,2,Graduate Degree,Management,Y
11182STEPHANIE,TORRES,25-08-1944,S,F,stephanie19@learnsector.com,70000,4,Bachelors,Management,Y
11183JASMINE,LEE,15-07-1944,S,F,jasmine19@learnsector.com,70000,4,Bachelors,Management,Y
11184MEGHAN,HERNANDEZ,16-11-1944,S,F,meghan3@learnsector.com,70000,4,Bachelors,Management,Y
11185ASHLEY,HENDERSON,08-10-1944,S,F,ashley31@learnsector.com,70000,4,Bachelors,Management,Y
11186SARAH,PRICE,21-05-1944,S,F,sarah25@learnsector.com,70000,4,Bachelors,Management,Y
11187JENNIFER,COOPER,22-02-1944,M,F,jennifer63@learnsector.com,60000,4,Graduate Degree,Management,Y
11188CATHERINE,MORRIS,06-09-1944,M,F,catherine16@learnsector.com,60000,4,Graduate Degree,Management,N
11190CARSON,BRYANT,22-06-1944,M,M,carson17@learnsector.com,70000,5,Bachelors,Management,Y
11191KRISTI,PEREZ,18-12-1945,S,F,kristi39@learnsector.com,70000,5,Bachelors,Management,Y
11192JAMES,BROWN,13-09-1945,M,M,james79@learnsector.com,60000,4,Bachelors,Management,Y
11193IAN,GRAY,13-02-1945,M,M,ian72@learnsector.com,60000,4,Bachelors,Management,Y
11194JACQUELINE,PRICE,10-06-1945,M,F,jacqueline0@learnsector.com,60000,4,Bachelors,Management,Y
11195MEGAN,HENDERSON,10-02-1946,M,F,megan55@learnsector.com,60000,5,Bachelors,Management,Y
11196ALFREDO,ROMERO,07-06-1946,M,M,alfredo10@learnsector.com,60000,5,Bachelors,Management,Y
11197ANDREA,MORRIS,18-06-1946,M,F,andrea18@learnsector.com,70000,3,Bachelors,Management,N
11198BROOKE,SANDERS,26-11-1946,S,F,brooke3@learnsector.com,70000,4,Bachelors,Management,Y
11199JACQUELINE,BENNETT,06-11-1946,M,F,jacqueline1@learnsector.com,70000,4,Bachelors,Management,Y
11200JASON,GRIFFIN,22-11-1947,M,M,jason18@learnsector.com,70000,4,Bachelors,Management,Y
11201AMANDA,FOSTER,18-08-1947,M,F,amanda37@learnsector.com,70000,4,Bachelors,Management,Y
11202ALEXIA,PRICE,26-08-1947,M,F,alexia0@learnsector.com,80000,5,Bachelors,Management,N
11203LUIS,DIAZ,21-08-1948,M,M,luis21@learnsector.com,40000,2,High School,Professional,Y
11205ABBY,FERNANDEZ,24-07-1948,M,F,abby13@learnsector.com,40000,2,High School,Professional,Y
11206BLAKE,FLORES,24-09-1948,M,M,blake60@learnsector.com,60000,2,Partial College,Professional,Y
11207DANIELLE,COX,19-07-1948,S,F,danielle12@learnsector.com,60000,2,Partial College,Professional,Y
11208MARIA,REED,04-02-1948,M,F,maria4@learnsector.com,60000,2,Bachelors,Management,Y
11209ALLISON,EVANS,13-01-1948,M,F,allison21@learnsector.com,60000,2,Bachelors,Management,Y
11210EDWARD,WOOD,08-06-1948,M,M,edward50@learnsector.com,70000,4,Partial College,Professional,Y
11211SAMANTHA,RUSSELL,12-10-1949,M,F,samantha42@learnsector.com,40000,2,High School,Professional,Y
11212CHLOE,CAMPBELL,05-11-1949,M,F,chloe4@learnsector.com,40000,2,High School,Professional,Y
11213STEPHANIE,MURPHY,14-05-1949,S,F,stephanie11@learnsector.com,60000,2,Partial College,Professional,Y
11214CHARLES,MILLER,07-11-1949,S,M,charles9@learnsector.com,60000,2,Partial College,Professional,Y
11215ANA,PERRY,21-06-1950,M,F,ana7@learnsector.com,40000,2,Partial High School,Skilled Manual,Y
11216JASMINE,TORRES,20-05-1950,S,F,jasmine32@learnsector.com,60000,2,Partial College,Professional,Y
11217NATALIE,ADAMS,11-02-1950,S,F,natalie58@learnsector.com,60000,2,Partial College,Professional,Y
11218OLIVIA,BROWN,11-09-1950,S,F,olivia4@learnsector.com,60000,2,Partial College,Professional,N
11219CHARLES,COOK,02-12-1950,M,M,charles69@learnsector.com,60000,2,High School,Professional,Y
11220ERICA,HUANG,23-02-1950,M,F,erica5@learnsector.com,60000,2,Partial College,Professional,Y
11221NATHAN,PERRY,10-06-1950,M,M,nathan3@learnsector.com,70000,4,Partial College,Professional,Y
11222ALEXANDRA,RIVERA,17-08-1950,M,F,alexandra11@learnsector.com,80000,3,Bachelors,Management,Y
11223HAILEY,PATTERSON,16-09-1951,S,F,hailey30@learnsector.com,70000,2,High School,Professional,Y
11224TIFFANY,LI,06-09-1951,S,F,tiffany3@learnsector.com,70000,2,High School,Professional,Y
11226SYDNEY,ROSS,27-09-1951,M,F,sydney26@learnsector.com,60000,2,Partial College,Professional,Y
11227MARSHALL,CHAVEZ,12-08-1951,S,M,marshall35@learnsector.com,60000,2,Partial College,Professional,Y
11228ASHLEY,JONES,19-04-1951,M,F,ashley3@learnsector.com,60000,2,Partial College,Professional,Y
11229ADRIAN,STEWART,03-12-1951,S,M,adrian21@learnsector.com,70000,4,Partial College,Professional,Y
11230AMBER,TURNER,03-04-1951,M,F,amber4@learnsector.com,70000,4,Partial College,Professional,N
11231DENNIS,ZHANG,14-11-1952,M,M,dennis1@learnsector.com,60000,2,High School,Professional,Y
11232HAILEY,BRYANT,27-09-1952,M,F,hailey38@learnsector.com,60000,3,High School,Professional,N
11233TODD,LI,09-09-1952,M,M,todd5@learnsector.com,70000,4,Partial College,Professional,Y
11234ANNA,GRIFFIN,19-11-1952,S,NA,anna46@learnsector.com,70000,4,Partial College,Professional,Y
11235ANGEL,STEWART,08-02-1952,M,M,angel24@learnsector.com,70000,4,Partial College,Professional,Y
11236JEREMY,BUTLER,05-03-1952,S,M,jeremy29@learnsector.com,70000,5,Partial College,Professional,Y
11237CLARENCE,ANAND,23-09-1958,S,M,clarence36@learnsector.com,130000,2,Bachelors,Management,N
11238MAYRA,PRASAD,10-08-1958,S,F,mayra9@learnsector.com,130000,2,Bachelors,Management,N
11239LATOYA,GOEL,06-10-1958,M,F,latoya18@learnsector.com,130000,2,Partial College,Professional,N
11240ANNE,HERNANDEZ,11-12-1958,M,F,anne4@learnsector.com,160000,2,Partial College,Professional,Y
11241LISA,CAI,11-10-1957,S,F,lisa24@learnsector.com,100000,2,Partial College,Professional,Y
11242LARRY,MUNOZ,11-11-1957,M,M,larry9@learnsector.com,110000,2,Partial College,Professional,Y
11243ROBIN,ALVAREZ,09-10-1957,M,F,robin2@learnsector.com,150000,2,Partial College,Professional,Y
11244ALEXIS,COLEMAN,26-11-1957,S,F,alexis28@learnsector.com,170000,2,Bachelors,Management,N
11245RICKY,VAZQUEZ,27-10-1956,M,M,ricky15@learnsector.com,120000,3,High School,Professional,N
11247CLAUDIA,ZHOU,06-06-1956,S,F,claudia7@learnsector.com,130000,3,Partial College,Professional,N
11248TRISTAN,ALEXANDER,26-03-1955,M,M,tristan19@learnsector.com,110000,3,Partial College,Professional,Y
11249CINDY,PATEL,13-07-1955,M,F,cindy3@learnsector.com,130000,3,Partial College,Professional,Y
11250SHANNON,LIU,12-03-1955,M,F,shannon4@learnsector.com,170000,3,High School,Professional,Y
11251XAVIER,LONG,04-07-1932,S,M,xavier51@learnsector.com,30000,4,High School,Professional,N
11252NICHOLAS,THOMPSON,07-06-1932,S,M,nicholas16@learnsector.com,90000,3,Graduate Degree,Management,Y
11253JOSÉ,HERNANDEZ,28-02-1933,M,M,josé54@learnsector.com,60000,2,Graduate Degree,Management,Y
11254JOHNATHAN,VANCE,03-03-1933,M,M,johnathan5@learnsector.com,70000,4,Graduate Degree,Management,Y
11255COLIN,LIN,04-04-1933,M,M,colin8@learnsector.com,70000,4,Graduate Degree,Management,Y
11256KATELYN,HERNANDEZ,20-09-1933,M,F,katelyn42@learnsector.com,70000,4,Graduate Degree,Management,Y
11257JACQUELINE,POWELL,06-01-1933,S,F,jacqueline9@learnsector.com,120000,1,Graduate Degree,Management,Y
11258XAVIER,HILL,28-06-1933,M,M,xavier26@learnsector.com,120000,1,Graduate Degree,Management,Y
11259VICTORIA,STEWART,27-03-1965,M,F,victoria24@learnsector.com,100000,4,Partial College,Professional,Y
